Iteration,File,Average Queue Size (Dequeue),Std Dev Queue Size,Interrupt Count (Dequeue Rate),Interrupt Magnitude
3,jitter_values_20241127_173307.csv,8.955114054,0.268994141,0,0
6,jitter_values_20241127_173455.csv,9.946244477,0.293726906,0,0
10,jitter_values_20241127_173720.csv,8.933774834,0.332394064,0,0
13,jitter_values_20241127_173908.csv,8.941089838,0.353201159,0,0
5,jitter_values_20241127_173419.csv,9.988217968,0.361984508,0,0
19,jitter_values_20241127_174245.csv,8.922737307,0.384615235,0,0
8,jitter_values_20241127_173608.csv,9.033136966,0.472928783,0,0
7,jitter_values_20241127_173531.csv,9.255899705,0.548868546,0,0
9,jitter_values_20241127_173644.csv,8.762325239,0.568069783,0,0
2,jitter_values_20241127_173231.csv,9.581858407,0.573661585,0,0
11,jitter_values_20241127_173756.csv,9.738778514,0.575817516,0,0
14,jitter_values_20241127_173944.csv,9.562269713,0.577342739,0,0
17,jitter_values_20241127_174133.csv,9.522123894,0.584129771,0,0
20,jitter_values_20241127_174321.csv,9.814896755,0.594277189,0,0
15,jitter_values_20241127_174020.csv,8.648270787,0.60549365,0,0
12,jitter_values_20241127_173832.csv,11.92005922,0.621447769,0,0
18,jitter_values_20241127_174209.csv,9.253687316,0.66694853,0,0
16,jitter_values_20241127_174056.csv,9.960206338,0.804601049,1,36.6608
4,jitter_values_20241127_173343.csv,8.93072955,0.912664329,0,0
1,jitter_values_20241127_173148.csv,10.7079646,0.978120037,0,0
